ID_REF	VALUE
201245_s_at	6.67851
201246_s_at	7.37266
201247_at	8.29214
201248_s_at	8.64921
201249_at	7.20334
201250_s_at	9.01021
201251_at	8.69314
201252_at	7.55546
201253_s_at	10.1974
201254_x_at	10.5907
201255_x_at	8.6467
201256_at	11.3492
201257_x_at	11.5771
201258_at	9.88071
201259_s_at	6.18788
201260_s_at	6.9833
201261_x_at	8.42124
201262_s_at	7.71866
201263_at	6.28978
201264_at	7.19613
201265_at	6.53334
201266_at	8.39729
201267_s_at	7.42303
201268_at	7.76262
201269_s_at	6.71098
201270_x_at	10.3527
201271_s_at	7.60362
201272_at	9.24298
201273_s_at	9.97843
201274_at	6.80609
201275_at	6.61249
201276_at	9.20455
201277_s_at	7.48201
201278_at	6.65117
201279_s_at	6.65319
201280_s_at	7.19039
201281_at	7.05769
201282_at	7.20891
201283_s_at	6.62095
201284_s_at	7.40354
201285_at	8.2374
201286_at	6.43074
201287_s_at	6.96545
201288_at	6.6675
201289_at	6.17676
201290_at	9.09771
201291_s_at	6.01546
201292_at	6.54453
201293_x_at	10.7666
201294_s_at	6.75596
201295_s_at	6.31914
201296_s_at	8.35701
201297_s_at	6.18533
201298_s_at	6.7652
201299_s_at	6.34522
201300_s_at	8.34944
201301_s_at	6.82959
201302_at	7.88717
201303_at	7.82246
201304_at	7.99845
201305_x_at	9.49606
201306_s_at	10.4456
201307_at	8.31132
201308_s_at	6.26789
201309_x_at	7.05493
201310_s_at	10.5987
201311_s_at	7.20168
201312_s_at	8.83989
201313_at	10.5388
201314_at	7.08091
201315_x_at	8.35458
201316_at	6.49158
201317_s_at	7.38768
201318_s_at	8.95781
201319_at	6.94522
201320_at	8.47269
201321_s_at	7.7755
201322_at	8.98295
201323_at	6.33334
201324_at	6.62942
201325_s_at	7.3029
201326_at	7.48883
201327_s_at	6.32015
201328_at	7.42699
201329_s_at	6.44499
201330_at	6.7211
201331_s_at	7.29207
201332_s_at	7.65929
201333_s_at	7.53547
201334_s_at	8.64931
201335_s_at	6.75317
201336_at	10.9521
201337_s_at	6.3723
201338_x_at	8.05758
201339_s_at	6.29962
201340_s_at	8.8755
201341_at	11.5227
201342_at	9.51215
201343_at	7.59584
201344_at	7.00443
201345_s_at	7.39108
201346_at	8.50818
201347_x_at	7.11874
201348_at	7.33704
201349_at	8.28091
201350_at	8.86755
201351_s_at	6.48764
201352_at	8.69075
201353_s_at	7.32734
201354_s_at	8.67037
201355_s_at	7.37726
201356_at	7.27722
201357_s_at	6.56674
201358_s_at	8.63362
201359_at	6.69104
201360_at	7.99471
201361_at	8.36975
201362_at	7.62585
201363_s_at	7.46093
201364_s_at	6.98653
201365_at	7.83408
201366_at	10.3355
201367_s_at	6.72953
201368_at	8.32443
201369_s_at	6.91693
201370_s_at	6.46757
201371_s_at	6.80855
201372_s_at	6.3107
201373_at	7.7864
201374_x_at	6.40032
201375_s_at	9.9556
201376_s_at	6.71222
201377_at	6.69898
201378_s_at	7.17299
201379_s_at	7.46431
201380_at	7.10333
201381_x_at	8.773
201382_at	6.91599
201383_s_at	7.40674
201384_s_at	7.82249
201385_at	8.77913
201386_s_at	7.23273
201387_s_at	11.1318
201388_at	8.03959
201389_at	6.9991
201390_s_at	8.24594
201391_at	8.71872
201392_s_at	7.03909
201393_s_at	6.64859
201394_s_at	6.89277
201395_at	8.56159
201396_s_at	8.35432
201397_at	7.96954
201398_s_at	7.94379
201399_s_at	6.30054
201400_at	7.08457
201401_s_at	6.93609
201402_at	8.00276
201403_s_at	10.0866
201404_x_at	8.51967
201405_s_at	7.66661
201406_at	9.65611
201407_s_at	8.5603
201408_at	7.45179
201409_s_at	10.3341
201410_at	9.40597
201411_s_at	7.84819
201412_at	7.70428
201413_at	6.86152
201414_s_at	9.79898
201415_at	7.29751
201416_at	6.42623
201417_at	7.63579
201418_s_at	9.20896
201419_at	8.40461
201420_s_at	7.86285
201421_s_at	7.20885
201422_at	8.6945
201423_s_at	6.88832
201424_s_at	6.61198
201425_at	10.1515
201426_s_at	7.59667
201427_s_at	10.3127
201428_at	7.58717
201429_s_at	13.9952
201430_s_at	7.0469
201431_s_at	7.84171
201432_at	7.16743
201433_s_at	10.2328
201434_at	7.18067
201435_s_at	7.44141
201436_at	6.60369
201437_s_at	7.19047
201438_at	6.69108
201439_at	8.4183
201440_at	7.08107
201441_at	9.92752
201442_s_at	6.23886
201443_s_at	9.39375
201444_s_at	7.09021
201445_at	6.72452
201446_s_at	6.64812
201447_at	7.19913
201448_at	6.47075
201449_at	6.97465
201450_s_at	6.22569
201451_x_at	7.52159
201452_at	8.38224
201453_x_at	10.6632
201454_s_at	6.74289
201455_s_at	10.1841
201456_s_at	7.2274
201457_x_at	7.22317
201458_s_at	7.80129
201459_at	7.45162
201460_at	9.16417
201461_s_at	6.21265
201462_at	9.02317
201463_s_at	6.99629
201464_x_at	9.12146
201465_s_at	6.45063
201466_s_at	7.50491
201467_s_at	8.12293
201468_s_at	8.88638
201469_s_at	6.58595
201470_at	8.28638
201471_s_at	9.75362
201472_at	8.9818
201473_at	7.29567
201474_s_at	7.50416
201475_x_at	7.47957
201476_s_at	6.53595
201477_s_at	7.08168
201478_s_at	6.25111
201479_at	7.13975
201480_s_at	8.29878
201481_s_at	8.23336
201482_at	8.02166
201483_s_at	7.92912
201484_at	7.38962
201485_s_at	7.46
201486_at	7.23486
201487_at	6.96688
201488_x_at	7.8073
201489_at	7.90457
201490_s_at	7.06201
201491_at	8.80982
201492_s_at	13.345
201493_s_at	9.54815
201494_at	8.57729
201495_x_at	6.46077
201496_x_at	6.18585
201497_x_at	7.90389
201498_at	8.82542
201499_s_at	8.4021
201500_s_at	9.55998
201501_s_at	7.53836
201502_s_at	7.88646
201503_at	8.53166
201504_s_at	7.11177
201505_at	6.17064
201506_at	6.94712
201507_at	9.38426
201508_at	7.05312
201509_at	8.02799
201510_at	6.60718
201511_at	7.67287
201512_s_at	6.72384
201513_at	7.11113
201514_s_at	6.97681
201515_s_at	8.54428
201516_at	8.52766
201517_at	7.67617
201518_at	7.23818
201519_at	10.943
201520_s_at	6.67942
201521_s_at	6.81613
201522_x_at	10.3412
201523_x_at	6.85678
201524_x_at	9.76583
201525_at	9.46231
201526_at	7.8226
201527_at	10.0775
201528_at	7.19649
201529_s_at	6.25626
201530_x_at	8.46034
201531_at	8.6144
201532_at	6.32883
201533_at	11.0222
201534_s_at	6.77862
201535_at	10.9722
201536_at	9.71678
201537_s_at	7.33039
201538_s_at	7.65381
201539_s_at	6.46528
201540_at	10.1242
201541_s_at	7.61488
201542_at	11.0043
201543_s_at	7.12765
201544_x_at	8.98841
201545_s_at	8.55606
201546_at	7.94958
201547_at	6.37285
201548_s_at	6.82596
201549_x_at	7.06599
201550_x_at	11.2503
201551_s_at	6.95715
201552_at	7.09234
201553_s_at	12.7005
201554_x_at	7.6827
201555_at	6.61111
201556_s_at	8.38812
201557_at	9.85457
201558_at	7.03915
201559_s_at	6.87598
201560_at	7.70665
201561_s_at	10.762
201562_s_at	7.1748
201563_at	6.69335
201564_s_at	7.54634
201565_s_at	6.82873
201566_x_at	7.29943
201567_s_at	8.71607
201568_at	9.51593
201569_s_at	6.71539
201570_at	6.92427
201571_s_at	6.67217
201572_x_at	6.99785
201573_s_at	6.58711
201574_at	8.3871
201575_at	8.98293
201576_s_at	6.77657
201577_at	7.59766
201578_at	6.86918
201579_at	7.55835
201580_s_at	8.15625
201581_at	9.37045
201582_at	7.24156
201583_s_at	6.7281
201584_s_at	6.55845
201585_s_at	7.94619
201586_s_at	8.97448
201587_s_at	8.06896
201588_at	8.46551
201589_at	6.57033
201590_x_at	7.83544
201591_s_at	10.308
201592_at	8.50359
201593_s_at	7.86106
201594_s_at	7.17573
201595_s_at	6.89254
201596_x_at	6.29032
201597_at	11.1972
201598_s_at	7.89974
201599_at	11.4341
201600_at	8.15735
201601_x_at	6.87064
201602_s_at	7.17168
201603_at	7.9436
201604_s_at	6.78374
201605_x_at	7.87162
201606_s_at	7.01678
201607_at	6.63181
201608_s_at	7.06054
201609_x_at	6.45969
201610_at	6.8219
201611_s_at	7.56686
201612_at	9.34059
201613_s_at	7.30341
201614_s_at	7.09398
201615_x_at	7.39699
201616_s_at	6.49343
201617_x_at	6.17317
201618_x_at	7.55911
201619_at	8.71771
201620_at	8.17012
201621_at	8.59963
201622_at	8.71716
201623_s_at	8.26784
201624_at	6.31253
201625_s_at	7.33127
201626_at	8.74343
201627_s_at	7.11103
201628_s_at	8.94059
201629_s_at	7.06869
201630_s_at	7.97439
201631_s_at	7.23248
201632_at	6.80001
201633_s_at	6.95208
201634_s_at	6.31454
201635_s_at	7.25153
201636_at	6.94067
201637_s_at	6.27732
201638_s_at	7.07911
201639_s_at	6.50454
201640_x_at	8.99766
201641_at	6.9067
201642_at	10.0017
201643_x_at	9.77109
201644_at	6.89858
201645_at	6.7455
201646_at	7.1876
201647_s_at	7.04908
201648_at	8.60028
201649_at	8.33085
201650_at	6.43353
201651_s_at	8.72558
201652_at	6.69372
201653_at	7.73912
201654_s_at	6.68448
201655_s_at	7.46082
201656_at	6.85703
201657_at	6.54847
201658_at	8.67926
201659_s_at	6.32653
201660_at	10.0034
201661_s_at	8.04099
201662_s_at	6.68742
201663_s_at	6.83288
201664_at	6.40635
201665_x_at	10.9466
201666_at	6.67116
201667_at	11.8048
201668_x_at	7.53256
201669_s_at	9.94477
201670_s_at	10.0319
201671_x_at	7.10218
201672_s_at	8.52639
201673_s_at	7.16746
201674_s_at	8.35091
201675_at	8.9759
201676_x_at	7.70692
201677_at	7.68262
201678_s_at	7.36116
201679_at	6.4776
201680_x_at	7.76434
